config,n_seeds,parametros,epocas_promedio,val_pr_auc_media,val_pr_auc_desvio,test_pr_auc_media,test_pr_auc_desvio,test_roc_auc_media,test_f1_max_media,test_brier_media
camp_ordinal_l4_features_d32_h4_l4_linear_catordinal,6,51393,77.2,0.828,0.0261,0.811,0.0471,0.974,0.7889,0.0421
robu_init45_features_d32_h4_l2_linear_catordinal_init45,6,26177,63.7,0.8279,0.0446,0.8097,0.0286,0.974,0.7864,0.0416
feat_mlm20_features_d32_h4_l2_linear_mlm20,6,28289,40.8,0.8309,0.0222,0.8089,0.0342,0.9734,0.7852,0.043
reg_ls01_features_d32_h4_l2_linear_catordinal_ls0.1,6,26177,52.8,0.8265,0.0275,0.8088,0.0432,0.9728,0.7818,0.0431
feat_cartaux03_features_d32_h4_l2_linear_cartaux0.3,6,28322,52.7,0.8244,0.0377,0.8086,0.023,0.9735,0.7909,0.042
camp_d64l4_features_d64_h4_l4_linear,6,205313,50.5,0.8343,0.0281,0.8082,0.026,0.975,0.7917,0.0424
camp_h1l4_features_d32_h1_l4_linear,6,53505,64.2,0.8223,0.0338,0.808,0.0344,0.9668,0.7907,0.0419
sia_som16_features_d32_h4_l2_linear_catordinal_som4,6,26721,51.7,0.8266,0.0336,0.8073,0.0194,0.973,0.7862,0.043
sia_ae_cls_emb_features_d32_h4_l2_linear_ae20,6,28289,53.0,0.8296,0.034,0.805,0.0348,0.9732,0.7885,0.0419
pac20_feat_l4_features_d32_h4_l4_linear,6,53505,48.0,0.8272,0.0295,0.803,0.018,0.9722,0.7895,0.0419
cv5_fold3_features_d32_h4_l2_linear_catordinal_cv5f3,6,26177,58.2,0.8375,0.0341,0.8023,0.031,0.9723,0.7847,0.0446
min_l1_features_d32_h4_l1_linear_catordinal,6,13569,66.3,0.8147,0.0313,0.8009,0.0499,0.9736,0.785,0.0419
robu_init43_features_d32_h4_l2_linear_catordinal_init43,6,26177,59.8,0.8156,0.0208,0.8007,0.05,0.9732,0.7844,0.0425
camp_d64h1_features_d64_h1_l2_linear,6,105729,47.5,0.8324,0.0288,0.8003,0.0312,0.9707,0.7938,0.042
camp_ordinal_h1_features_d32_h1_l2_linear_catordinal,6,26177,62.5,0.8232,0.0298,0.8,0.0306,0.9731,0.7874,0.043
feat_d64_features_d64_h4_l2_linear,6,105729,27.7,0.8197,0.02,0.7995,0.0326,0.9713,0.7859,0.0423
bert_ft_sin_features_d32_h4_l2_linear_catordinal_tembft_sin-listingstatus,6,22751649,41.3,0.8167,0.029,0.7984,0.0445,0.9707,0.7887,0.0428
pac20_feat_base_features_d32_h4_l2_linear,6,28289,62.3,0.8271,0.0324,0.7981,0.0357,0.9738,0.7882,0.0422
pac20_feat_d16_features_d16_h4_l2_linear,6,8001,59.5,0.8113,0.0419,0.7977,0.0303,0.9722,0.7887,0.0424
tl_mlm_l2sp_features_d32_h4_l2_linear_mlm20_l2sp0.001,6,28289,37.5,0.8292,0.0318,0.7975,0.0333,0.9722,0.7877,0.0429
mlp_onehot_mlp_d32_h4_l2_linear_catonehot,6,86785,32.3,0.815,0.0357,0.7973,0.0318,0.9747,0.7955,0.041
feat_l4_features_d32_h4_l4_linear,6,53505,27.5,0.8217,0.0252,0.7958,0.0267,0.9695,0.7901,0.0419
feat_cartaux01_features_d32_h4_l2_linear_cartaux0.1,6,28322,69.5,0.8147,0.0421,0.7956,0.0365,0.9719,0.7917,0.0425
pac20_feat_h2_features_d32_h2_l2_linear,6,28289,59.8,0.8146,0.0424,0.7953,0.0099,0.9726,0.7884,0.0424
reg_fdrop02_features_d32_h4_l2_linear_catordinal_fdrop0.2,6,26177,63.2,0.8202,0.0342,0.7951,0.0518,0.9727,0.7818,0.0428
feat_causal_last_features_d32_h4_l2_linear_clslast_causal,6,28289,51.7,0.8143,0.0234,0.795,0.032,0.9714,0.7829,0.0437
min_d4l1_features_d4_h4_l1_linear_catordinal,6,353,90.7,0.8144,0.0355,0.795,0.031,0.9673,0.7801,0.0466
feat_status_target_features_d32_h4_l2_linear_cfe-listingstatus-target,6,27681,61.3,0.8179,0.0429,0.7947,0.0361,0.9662,0.7889,0.0434
pac20_feat_pos_features_d32_h4_l2_linear_positional,6,28737,66.3,0.8222,0.0407,0.7946,0.0307,0.9721,0.7866,0.0429
tl_distill_ens_d4l1_features_d4_h4_l1_linear_catordinal_dst1,6,353,82.2,0.8188,0.0445,0.7944,0.0254,0.9675,0.7815,0.045
feat_base_features_d32_h4_l2_linear,6,28289,32.3,0.8034,0.0375,0.7937,0.0335,0.974,0.7914,0.042
feat_extras_features_d32_h4_l2_linear_extra-all,6,28673,49.0,0.8157,0.0224,0.7925,0.0482,0.9704,0.781,0.0436
feat_cartaux05_features_d32_h4_l2_linear_cartaux0.5,6,28322,63.5,0.8317,0.032,0.7913,0.0277,0.9727,0.7891,0.0435
sia_som64_features_d32_h4_l2_linear_catordinal_som8,6,28257,52.0,0.8173,0.0207,0.7909,0.0311,0.9709,0.7886,0.0426
pac20_feat_d8_features_d8_h4_l2_linear,6,2465,66.0,0.8106,0.03,0.7883,0.0549,0.9639,0.785,0.0443
feat_status_ordinal_features_d32_h4_l2_linear_cfe-listingstatus-ordinal,6,27681,48.2,0.8236,0.0422,0.7867,0.0321,0.9726,0.7901,0.0433
abl_sinln_features_d32_h4_l2_linear_catordinal_sinln,6,25857,121.0,0.8092,0.0366,0.7866,0.0354,0.9703,0.7788,0.0442
feat_h2_features_d32_h2_l2_linear,6,28289,33.2,0.8055,0.0406,0.7847,0.0184,0.9691,0.782,0.0442
curva_frac50_features_d32_h4_l2_linear_catordinal_frac0.5,6,26177,57.0,0.8053,0.0459,0.7802,0.0271,0.9679,0.7846,0.0446
feat_h1_features_d32_h1_l2_linear,6,28289,30.7,0.7948,0.0435,0.7785,0.0602,0.9646,0.7812,0.0489
feat_tiempo_features_d32_h4_l2_linear_extra-hour-dow,6,28609,40.8,0.8083,0.0324,0.7761,0.0521,0.9698,0.7886,0.0436
pac20_feat_bins_features_d32_h4_l2_bins,6,30977,40.2,0.7987,0.0336,0.7755,0.0275,0.9675,0.7842,0.0447
pac20_feat_l1_features_d32_h4_l1_linear,6,15681,41.8,0.8048,0.0368,0.7754,0.0416,0.97,0.7898,0.0434
tower_base_tower_d32_h4_l2_linear,6,96225,26.8,0.8042,0.0249,0.7751,0.0222,0.9732,0.7954,0.0425
fusion_base_fusion_d32_h4_l2_linear,6,63969,28.8,0.7968,0.028,0.7748,0.0364,0.9693,0.7854,0.0436
bert_mlp_mlp_d32_h4_l2_linear_catordinal_temb-minilm,6,3294401,36.2,0.8137,0.0227,0.7733,0.0321,0.9706,0.7765,0.0486
camp_ordinal_d64h1l4_features_d64_h1_l4_linear_catordinal,6,201089,56.3,0.8007,0.0314,0.7726,0.0657,0.9703,0.7833,0.0434
pac20_tower_base_tower_d32_h4_l2_linear,6,96225,40.7,0.8041,0.0246,0.7724,0.022,0.9726,0.7941,0.0431
tower_status_campo_tower_d32_h4_l2_linear_stripstatus,6,96225,26.0,0.8036,0.0247,0.7721,0.0231,0.9729,0.7951,0.0426
